Province/State,Country/Region,First confirmed date in country,Lat,Long,2020-01-21 22:00:00,2020-01-22 12:00:00,2020-01-23 12:00:00,2020-01-24 00:00:00,2020-01-24 12:00:00,2020-01-25 00:00:00,2020-01-25 12:00:00,2020-01-25 22:00:00,2020-01-26 11:00:00,2020-01-26 23:00:00,2020-01-27 09:00:00,2020-01-27 19:00:00,2020-01-27 20:30:00,2020-01-28 13:00:00,2020-01-28 18:00:00,2020-01-28 23:00:00,2020-01-29 13:30:00,2020-01-29 14:30:00,2020-01-29 21:00:00,2020-01-30 11:00:00,2020-01-31 14:00:00,2020-01-31 19:00:00,2020-02-01 10:00:00,2020-02-02 21:00:00,2020-02-03 21:00:00,2020-02-04 09:40:00,2020-02-04 22:00:00,2020-02-05 09:00:00,2020-02-05 23:00:00,2020-02-06 09:00:00,2020-02-06 14:20:00,2020-02-07 20:13:00,2020-02-07 22:50:00,2020-02-08 22:04:00,2020-02-08 23:04:00
Anhui,Mainland China,2020-01-22,31.82571,117.2264,,1.0,9.0,15.0,15.0,39.0,39.0,60.0,60.0,70.0,70.0,70.0,106.0,106.0,106.0,152.0,152.0,152.0,200.0,200.0,237.0,237.0,297.0,408.0,480.0,480.0,530.0,530.0,591.0,591.0,591.0,665,733,733,779
Beijing,Mainland China,2020-01-21,40.18238,116.4142,10.0,14.0,22.0,26.0,36.0,36.0,41.0,51.0,68.0,68.0,72.0,80.0,80.0,91.0,91.0,91.0,111.0,111.0,111.0,114.0,139.0,139.0,168.0,191.0,212.0,212.0,228.0,253.0,274.0,274.0,274.0,297,315,315,326
Chongqing,Mainland China,2020-01-21,30.05718,107.874,5.0,6.0,9.0,27.0,27.0,57.0,57.0,75.0,75.0,110.0,110.0,110.0,132.0,132.0,132.0,147.0,147.0,147.0,165.0,182.0,211.0,238.0,247.0,300.0,337.0,337.0,366.0,376.0,389.0,400.0,400.0,415,426,428,446
Fujian,Mainland China,2023-01-22,26.07783,117.9895,,1.0,5.0,5.0,10.0,10.0,18.0,18.0,35.0,35.0,56.0,59.0,59.0,80.0,80.0,82.0,84.0,84.0,101.0,101.0,120.0,120.0,144.0,159.0,179.0,179.0,194.0,205.0,215.0,215.0,215.0,224,239,239,250
Gansu,Mainland China,2020-01-03,36.0611,103.8343,,,2.0,2.0,2.0,4.0,4.0,7.0,7.0,14.0,14.0,14.0,19.0,19.0,19.0,24.0,24.0,24.0,26.0,26.0,29.0,35.0,35.0,51.0,55.0,55.0,57.0,57.0,62.0,62.0,62.0,67,71,79,79
Guangdong,Mainland China,2020-01-21,23.33841,113.422,17.0,26.0,32.0,53.0,53.0,78.0,78.0,98.0,111.0,146.0,151.0,151.0,151.0,207.0,207.0,241.0,277.0,277.0,311.0,354.0,436.0,436.0,535.0,683.0,725.0,797.0,870.0,895.0,944.0,970.0,970.0,1034,1075,1095,1120
Guangxi,Mainland China,2020-01-22,23.82908,108.7881,,2.0,5.0,13.0,23.0,23.0,23.0,33.0,36.0,46.0,46.0,46.0,51.0,51.0,51.0,58.0,58.0,58.0,78.0,78.0,87.0,88.0,100.0,127.0,139.0,139.0,150.0,150.0,168.0,168.0,168.0,172,183,183,195
Guizhou,Mainland China,2020-01-22,26.81536,106.8748,,1.0,3.0,3.0,3.0,4.0,4.0,5.0,5.0,7.0,7.0,7.0,9.0,9.0,9.0,9.0,9.0,9.0,12.0,12.0,29.0,29.0,29.0,46.0,56.0,56.0,64.0,64.0,69.0,71.0,71.0,81,89,89,96
Hainan,Mainland China,2020-01-22,19.19673,109.7455,,4.0,5.0,8.0,8.0,17.0,19.0,19.0,22.0,22.0,33.0,33.0,33.0,40.0,40.0,43.0,43.0,43.0,43.0,46.0,52.0,58.0,62.0,71.0,79.0,79.0,91.0,91.0,100.0,106.0,106.0,117,124,124,128
Hebei,Mainland China,2020-01-22,38.0428,114.5149,,1.0,1.0,2.0,2.0,8.0,8.0,13.0,13.0,18.0,18.0,18.0,33.0,33.0,33.0,48.0,48.0,48.0,65.0,65.0,82.0,96.0,96.0,113.0,126.0,126.0,135.0,135.0,157.0,157.0,157.0,172,195,195,206
